basin_id,year,expected_days,valid_days,valid_runoff_days,q_completeness,runoff_completeness
01013500,1995,365,76,76,0.20821917808219179,0.20821917808219179
01013500,1996,366,293,293,0.8005464480874317,0.8005464480874317
01013500,1997,365,239,239,0.6547945205479452,0.6547945205479452
01013500,1998,365,278,278,0.7616438356164383,0.7616438356164383
01013500,1999,365,288,288,0.7890410958904109,0.7890410958904109
01013500,2000,366,259,259,0.7076502732240437,0.7076502732240437
01013500,2001,365,241,241,0.6602739726027397,0.6602739726027397
01013500,2002,365,251,251,0.6876712328767123,0.6876712328767123
01013500,2003,365,257,257,0.7041095890410959,0.7041095890410959
01013500,2004,366,266,266,0.726775956284153,0.726775956284153
01013500,2005,365,231,231,0.6328767123287671,0.6328767123287671
01013500,2006,365,279,279,0.7643835616438356,0.7643835616438356
01013500,2007,365,240,240,0.6575342465753424,0.6575342465753424
01013500,2008,366,241,241,0.6584699453551912,0.6584699453551912
01013500,2009,365,267,267,0.7315068493150685,0.7315068493150685
01013500,2010,365,285,285,0.7808219178082192,0.7808219178082192
03164000,1995,365,339,339,0.9287671232876712,0.9287671232876712
03164000,1996,366,338,338,0.9234972677595629,0.9234972677595629
03164000,1997,365,350,350,0.958904109589041,0.958904109589041
03164000,1998,365,364,364,0.9972602739726028,0.9972602739726028
03164000,1999,365,347,347,0.9506849315068493,0.9506849315068493
03164000,2000,366,332,332,0.907103825136612,0.907103825136612
03164000,2001,365,339,339,0.9287671232876712,0.9287671232876712
03164000,2002,365,351,351,0.9616438356164384,0.9616438356164384
03164000,2003,365,334,334,0.915068493150685,0.915068493150685
03164000,2004,366,355,355,0.9699453551912568,0.9699453551912568
03164000,2005,365,356,356,0.9753424657534246,0.9753424657534246
03164000,2006,365,322,322,0.8821917808219178,0.8821917808219178
03164000,2007,365,358,358,0.9808219178082191,0.9808219178082191
03164000,2008,366,352,352,0.9617486338797814,0.9617486338797814
03164000,2009,365,346,346,0.947945205479452,0.947945205479452
03164000,2010,365,326,326,0.8931506849315068,0.8931506849315068
03213700,1995,365,0,0,0.0,0.0
03213700,1996,366,0,0,0.0,0.0
03213700,1997,365,91,91,0.2493150684931507,0.2493150684931507
03213700,1998,365,358,358,0.9808219178082191,0.9808219178082191
03213700,1999,365,364,364,0.9972602739726028,0.9972602739726028
03213700,2000,366,365,365,0.9972677595628415,0.9972677595628415
03213700,2001,365,352,352,0.9643835616438357,0.9643835616438357
03213700,2002,365,353,353,0.9671232876712329,0.9671232876712329
03213700,2003,365,359,359,0.9835616438356164,0.9835616438356164
