basin_id,NOAA_REGION,assigned_region_fraction,assigned_region_percent
01013500,Northeast,0.999999999999999,99.9999999999999
03164000,Southeast,0.9997665086967995,99.97665086967996
03213700,Ohio Valley,0.8457194040502222,84.57194040502222
05056000,Northern Rockies and Plains,1.0,100.0
05412500,Upper Midwest,1.0,100.0
05585000,Upper Midwest,1.0000000000000007,100.00000000000007
06043500,Northern Rockies and Plains,1.0000000000000007,100.00000000000007
06339500,Northern Rockies and Plains,0.9999999999999994,99.99999999999994
06353000,Northern Rockies and Plains,1.0000000000000027,100.00000000000027
06441500,Northern Rockies and Plains,0.9999999999999996,99.99999999999996
06450500,Northern Rockies and Plains,1.0000000000000009,100.00000000000009
06453600,Northern Rockies and Plains,1.0000000000000002,100.00000000000003
06464500,Northern Rockies and Plains,0.9999999999999992,99.99999999999993
06468170,Northern Rockies and Plains,0.999999999999998,99.9999999999998
06775500,Northern Rockies and Plains,0.9999999999999986,99.99999999999986
07014500,Northern Rockies and Plains,1.0000000000000007,100.00000000000007
07056000,South,1.0000000000000004,100.00000000000004
07067000,Northern Rockies and Plains,1.0000000000000022,100.00000000000023
07068000,Northern Rockies and Plains,1.0000000000000024,100.00000000000024
07071500,Northern Rockies and Plains,0.9999999999999984,99.99999999999984
07148400,Northern Rockies and Plains,0.7388442016965169,73.88442016965169
07149000,Northern Rockies and Plains,1.0000000000000004,100.00000000000004
07151500,Northern Rockies and Plains,1.0000000000000004,100.00000000000004
07226500,Southwest,1.0000000000000004,100.00000000000004
07292500,Southeast,0.9999999999999997,99.99999999999997
07301500,South,0.9999999999999999,99.99999999999999
08164000,South,0.9999999999999991,99.99999999999991
09430500,Southwest,1.0000000000000007,100.00000000000007
12358500,Northern Rockies and Plains,0.9999999999999976,99.99999999999976
12414500,Northwest,0.9996716485182118,99.96716485182118
13337000,Northwest,0.9994861376395062,99.94861376395062
13338500,Northwest,1.0,100.0
13340600,Northwest,0.9997525457648707,99.97525457648707
